GRAPH,STARTING_NODE,ENDING_NODE,CLASS,DOCCOUNT
Jp Morgan Chase And Co,Cytomx Therapeutics Inc,Bristol-Myers Squibb Company,Clinical Trial,279
Goldman Sachs Group Inc,Facebook Inc,Zynga Inc,Hack,96
Pepsico Inc,Catalent Inc,Novavax Inc,Clinical Trial,8
Verizon Communications Inc,Microsoft Corp,Apple Inc,Class-Action Lawsuit,7
Verizon Communications Inc,Apple Inc,Ericsson Inc,Sanctions,264
Pepsico Inc,Thomson Reuters Corp,Reliance Industries Ltd,Sanctions,581
Morgan Stanley International Holdings Inc,Thomson Reuters Corp,Adobe Inc,Hacking,15
Goldman Sachs Group Inc,Microsoft Corp,Sony Corp,Hack,248
Pepsico Inc,Twitter Inc,Facebook Inc,Class-Action Lawsuit,81
Pepsico Inc,Amazon Com Inc,New York Times Co,Civil Lawsuit,54
Alphabet Inc,Verizon Communications Inc,Anthem Inc,Wire Fraud,3
Pepsico Inc,Altaba Inc,Ebay Inc,Hack,344
Alphabet Inc,Altaba Inc,Equifax Inc,Wire Fraud,12
Pepsico Inc,Altaba Inc,Facebook Inc,Hack,1643
Microsoft Corp,Altaba Inc,Facebook Inc,Hack,1643
Verizon Communications Inc,Facebook Inc,Altaba Inc,Hacking,575
Jp Morgan Chase And Co,Xerox Corp,Fujifilm Holdings Corp,Legal Dispute,84
Alphabet Inc,Activision Blizzard,Microsoft Corp,Hack,3
Goldman Sachs Group Inc,Boeing Company,Airbus,Sanctions,692
Alphabet Inc,Tactile Systems Technology Inc,Nasdaq Inc,Corporate Misconduct,12
Alphabet Inc,Dxc Technology Company,Hewlett Packard Enterprise Comp,Hacking,336
Microsoft Corp,Coherent Inc,Lumentum Holdings Inc,Corporate Misconduct,12
Microsoft Corp,Apple Inc,Netflix Inc,Hack,58
Verizon Communications Inc,Nasdaq Inc,Jazz Pharmaceuticals Plc,Clinical Trial,9
Pepsico Inc,American Airlines Group Inc,Boeing Company,Criminal Investigation,324
Alphabet Inc,Verizon Communications Inc,Facebook Inc,Ransomware Attack,217
Verizon Communications Inc,Apple Inc,Ericsson Inc,Legal Dispute,81
Verizon Communications Inc,Anthem Inc,Express Scripts Holding Co,Privacy Breach,70
Goldman Sachs Group Inc,Goldman Sachs Group Inc,Morgan Stanley International Holdings Inc,Corporate Misconduct,122
Jp Morgan Chase And Co,Nasdaq Inc,Eiger Biopharmaceuticals Inc,Clinical Trial,27
Jp Morgan Chase And Co,Nasdaq Inc,Dialog Semicon Ord,Anti-Trust Violation,4
Morgan Stanley International Holdings Inc,Intercontinental Exchange,Pandora Media Inc,Anti-Trust Violation,4
Morgan Stanley International Holdings Inc,Centene Corp,Magellan Health Inc,Corporate Misconduct,20
Microsoft Corp,Microsoft Corp,Verizon Communications Inc,Privacy Breach,11
Goldman Sachs Group Inc,Denso Corporation,Toyota Motor Corp,Ransomware Attack,39
Microsoft Corp,Symantec Corp,Microsoft Corp,Hack,74
Pepsico Inc,Ebay Inc,Altaba Inc,Wire Fraud,3
Verizon Communications Inc,Twitter Inc,Google,Sanctions,543
Jp Morgan Chase And Co,Facebook Inc,Ebay Inc,Hack,200
Goldman Sachs Group Inc,Cryoport Inc,Nasdaq Inc,Clinical Trial,5
Alphabet Inc,Netflix Inc,Paypal Holdings,Hack,180
Pepsico Inc,Wells Fargo And Company,Thomson Reuters Corp,Criminal Investigation,68
Verizon Communications Inc,Apple Inc,Qualcomm Inc/De,Legal Dispute,112
Goldman Sachs Group Inc,Quest Diagnostics Inc,Humana Inc,Hack,10
Morgan Stanley International Holdings Inc,Adesto Technologies Corp,Dialog Semicon Ord,Accounting Fraud,3
Goldman Sachs Group Inc,Apple Inc,Twitter Inc,Sanctions,50
Goldman Sachs Group Inc,Schwab Charles Corp,Td Ameritrade Holding Corp,Anti-Trust Violation,36
Alphabet Inc,Dominion Energy Inc,Scana Corp,Criminal Investigation,78
Verizon Communications Inc,Tesla Inc,Twitter Inc,Hack,956
Jp Morgan Chase And Co,Intercontinental Exchange,Las Vegas Sands Corp,Corporate Misconduct,42
Verizon Communications Inc,Jp Morgan Chase And Co,Bank Of America Corp,Bank Fraud,20
Alphabet Inc,Hollyfrontier Corp,Holly Energy Partners Lp,Corporate Misconduct,42
Jp Morgan Chase And Co,Hollyfrontier Corp,Holly Energy Partners Lp,Corporate Misconduct,18
Morgan Stanley International Holdings Inc,Rimini Street Inc,Oracle Corp,Sanctions,39
Alphabet Inc,Nasdaq Inc,Twitter Inc,Sanctions,120
Verizon Communications Inc,Merck And Co Inc,Ngm Biopharmaceuticals Inc,Clinical Trial,3
Alphabet Inc,Facebook Inc,Radware Ltd,Ransomware Attack,15
Microsoft Corp,Twitter Inc,Linkedin Corp,Hacking,134
Pepsico Inc,Netflix Inc,Paypal Holdings,Hack,90
Goldman Sachs Group Inc,General Motors Limited,Fiat Chrysler Automobiles Nv,Criminal Investigation,312
Pepsico Inc,General Motors Limited,Uber Technologies Inc,Criminal Investigation,4
Verizon Communications Inc,Sirius Xm Holdings Inc,Pandora Media Inc,Accounting Fraud,11
Morgan Stanley International Holdings Inc,Viasat Inc,Rignet Inc,Corporate Misconduct,16
Pepsico Inc,Rio Tinto Plc,Turquoise Hill Resources Ltd,Regulatory Investigation,3
Goldman Sachs Group Inc,Bank Of America Corp,Deutsche Bank,Ransomware Attack,24
Jp Morgan Chase And Co,Intel Corp,Advanced Micro Devices Inc,Sanctions,420
Alphabet Inc,Facebook Inc,Capital One Financial Corp,Ransomware Attack,121
Pepsico Inc,Peabody Energy Corp,Alliance Resource Partners Lp,Sanctions,6
Morgan Stanley International Holdings Inc,Thomson Reuters Corp,Danske Bank,Bank Fraud,4
Jp Morgan Chase And Co,Verizon Communications Inc,T-Mobile Us,Ddos Attack,18
