GRAPH,STARTING_NODE,ENDING_NODE,CLASS,DOCCOUNT
Alphabet Inc,Verizon Communications Inc,Anthem Inc,Wire Fraud,3
Alphabet Inc,Altaba Inc,Equifax Inc,Wire Fraud,12
Alphabet Inc,Activision Blizzard,Microsoft Corp,Hack,3
Alphabet Inc,Tactile Systems Technology Inc,Nasdaq Inc,Corporate Misconduct,12
Alphabet Inc,Dxc Technology Company,Hewlett Packard Enterprise Comp,Hacking,336
Alphabet Inc,Verizon Communications Inc,Facebook Inc,Ransomware Attack,217
Alphabet Inc,Netflix Inc,Paypal Holdings,Hack,180
Alphabet Inc,Dominion Energy Inc,Scana Corp,Criminal Investigation,78
Alphabet Inc,Hollyfrontier Corp,Holly Energy Partners Lp,Corporate Misconduct,42
Alphabet Inc,Nasdaq Inc,Twitter Inc,Sanctions,120
Alphabet Inc,Facebook Inc,Radware Ltd,Ransomware Attack,15
Alphabet Inc,Facebook Inc,Capital One Financial Corp,Ransomware Attack,121
Alphabet Inc,Capital One Financial Corp,Visa Inc,Hack,141
Alphabet Inc,Google,Linkedin Corp,Ddos Attack,3
Alphabet Inc,Thomson Reuters Corp,Volkswagen Ag,Sanctions,22
Alphabet Inc,Atandt Inc,Dte Energy Co,Sanctions,1200
Alphabet Inc,Voyager Therapeutics Inc,Abbvie Inc,Clinical Trial,5
Alphabet Inc,Bridge Bancorp Inc,Dime Community Bancshares Inc,Corporate Misconduct,48
Alphabet Inc,Microsoft Corp,International Business Machines Corp,Ransomware Attack,2835
Alphabet Inc,Dime Community Bancshares Inc,Bridge Bancorp Inc,Corporate Misconduct,8
Alphabet Inc,Google,New York Times Co,Privacy Breach,6
Alphabet Inc,Netgear Inc,Cisco Systems Inc,Hack,3
Alphabet Inc,United Therapeutics Corp,Mannkind Corp,Clinical Trial,121
Alphabet Inc,Microsoft Corp,Crowdstrike Holdings Inc,Hack,53
Alphabet Inc,Magellan Health Inc,Anthem Inc,Privacy Breach,5
Alphabet Inc,Apple Inc,Baidu Inc,Sanctions,5
Alphabet Inc,Microsoft Corp,Linkedin Corp,Hacking,208
Alphabet Inc,Uber Technologies Inc,Lyft Inc,Hacking,46
Alphabet Inc,Altaba Inc,Marriott International Inc /Md/,Cyber Breach,44
Alphabet Inc,Facebook Inc,Fireeye Inc,Ransomware Attack,7
Alphabet Inc,Johnson And Johnson Services Inc,Amneal Pharmaceuticals Inc,Criminal Investigation,12
Alphabet Inc,Cytokinetics Inc,Amgen Inc,Clinical Trial,260
Alphabet Inc,Google,New York Times Co,Hacking,100
Alphabet Inc,Nasdaq Inc,Puma Biotechnology,Clinical Trial,31
Alphabet Inc,Amazon Com Inc,1Life Healthcare Inc,Corporate Misconduct,12
Alphabet Inc,Nasdaq Inc,Cymabay Therapeutics,Clinical Trial,3
Alphabet Inc,Nasdaq Inc,Azurrx Biopharma Inc,Clinical Trial,9
Alphabet Inc,Cousins Properties Inc,Tier Reit Inc,Anti-Trust Violation,32
Alphabet Inc,First Merchants Corp,Level One Bancorp Inc,Corporate Misconduct,8
Alphabet Inc,Apple Inc,Daimler Ag,Civil Lawsuit,3
Alphabet Inc,Atlas Air Worldwide Holdings Inc,Apollo Global Management Llc,Corporate Misconduct,6
Alphabet Inc,Amazon Com Inc,Kroger Company,Privacy Breach,3
Alphabet Inc,Microsoft Corp,Uber Technologies Inc,Privacy Breach,5
Alphabet Inc,Mastercard Inc,Paypal Holdings,Sanctions,120
Alphabet Inc,Electronic Arts Inc,Microsoft Corp,Sanctions,28
Alphabet Inc,Google,Chegg Inc,Ransomware Attack,17
Alphabet Inc,Barclays Plc,Quad/Graphics,Wire Fraud,32
Alphabet Inc,T-Mobile Us,Dish Network Corp,Ransomware Attack,3
Alphabet Inc,Glu Mobile Inc,Electronic Arts Inc,Accounting Fraud,4
Alphabet Inc,Facebook Inc,Nintendo Co Ltd,Hack,404
Alphabet Inc,Nasdaq Inc,Euronext Nv,Clinical Trial,306
Alphabet Inc,Intercontinental Exchange,Enbridge Inc,Regulatory Investigation,6
Alphabet Inc,Google,Wells Fargo And Company,Multidistrict Litigation,4
Alphabet Inc,Exxon Mobil Corp,Bp Plc,Sanctions,117
Alphabet Inc,Hsbc Holdings Plc,Capital One Financial Corp,Bank Fraud,40
Alphabet Inc,Advanced Micro Devices Inc,Intel Corp,Cyber Breach,48
Alphabet Inc,Fuelcell Energy Inc,Posco,Legal Dispute,12
Alphabet Inc,Willscot Corp,Mobile Mini Inc,Anti-Trust Violation,72
Alphabet Inc,Alexion Pharmaceuticals Inc,Portola Pharmaceuticals Inc,Accounting Fraud,12
Alphabet Inc,Regeneron Pharmaceuticals Inc,Novartis Ag,Clinical Trial,108
Alphabet Inc,Novartis Ag,Regeneron Pharmaceuticals Inc,Clinical Trial,108
Alphabet Inc,Akcea Therapeutics Inc,Ionis Pharmaceuticals Inc,Accounting Fraud,16
Alphabet Inc,Twitter Inc,Sonic Corp,Hack,6
Alphabet Inc,Intercontinental Exchange,Gci Liberty Inc,Corporate Misconduct,3
Alphabet Inc,Zynga Inc,Facebook Inc,Ransomware Attack,10
Alphabet Inc,Abbvie Inc,Pfizer Inc,Class-Action Lawsuit,3
Alphabet Inc,Macrogenics Inc,Incyte Corp,Clinical Trial,56
Alphabet Inc,Las Vegas Sands Corp,Wynn Resorts Ltd,Criminal Investigation,4
Alphabet Inc,Thomson Reuters Corp,Mitsubishi Motors Corp,Sanctions,3
Alphabet Inc,Electronic Arts Inc,Nintendo Co Ltd,Hacking,3
Alphabet Inc,Jp Morgan Chase And Co,Sony Corp,Cyber Breach,4
Alphabet Inc,Ebay Inc,Best Buy Co Inc,Hack,9
Alphabet Inc,Microsoft Corp,Adobe Inc,Hacking,18
Alphabet Inc,Nasdaq Inc,Terraform Power Inc,Accounting Fraud,4
Alphabet Inc,Nasdaq Inc,Ionis Pharmaceuticals Inc,Clinical Trial,3
Alphabet Inc,Apple Inc,Atandt Inc,Legal Dispute,4
Alphabet Inc,Morgan Stanley International Holdings Inc,Citigroup Inc,Bank Fraud,3
Alphabet Inc,Intel Corp,Advanced Micro Devices Inc,Ransomware Attack,48
Alphabet Inc,Omega Healthcare Investors Inc,Medequities Realty Trust Inc,Accounting Fraud,14
Alphabet Inc,Linkedin Corp,Global Payments Inc,Hacking,6
Alphabet Inc,Amazon Com Inc,Best Buy Co Inc,Hacking,8
Alphabet Inc,T-Mobile Us,Sprint Corp,Ransomware Attack,12
Alphabet Inc,Sprint Corp,T-Mobile Us,Ransomware Attack,30
Alphabet Inc,Microsoft Corp,Fortinet Inc,Hack,6
Alphabet Inc,Viasat Inc,Inmarsat Plc,Accounting Fraud,3
Alphabet Inc,Facebook Inc,Uber Technologies Inc,Ddos Attack,3
Alphabet Inc,Alphabet Inc,Linkedin Corp,Ransomware Attack,3
Alphabet Inc,Spirit Aerosystems Holdings,Boeing Company,Sanctions,6
Alphabet Inc,Atandt Inc,Warner Media Llc,Sanctions,24
Alphabet Inc,Nasdaq Inc,Iterum Therapeutics Plc,Clinical Trial,3
Alphabet Inc,Cleveland-Cliffs Inc,Arcelor Mittal,Sanctions,12
Alphabet Inc,Citigroup Inc,Genworth Financial Inc,Class-Action Lawsuit,4
Alphabet Inc,Svb Financial Group,Boston Private Financial Holdings Inc,Accounting Fraud,4
Alphabet Inc,Google,Solarwinds Inc,Wire Fraud,14
Alphabet Inc,Amazon Com Inc,Comcast Corp A,Cyber Breach,4
Alphabet Inc,Altaba Inc,Regis Corp,Hacking,6
Alphabet Inc,Fidelity National Financial,Fgl Holdings,Anti-Trust Violation,8
Alphabet Inc,Pfizer Inc,Cellectis Sa,Clinical Trial,6
Alphabet Inc,Microsoft Corp,Morningstar Inc,Hack,12
Alphabet Inc,Microsoft Corp,Uber Technologies Inc,Ddos Attack,3
Alphabet Inc,Nasdaq Inc,Walmart Inc,Class-Action Lawsuit,15
Alphabet Inc,Tivo Corp,Xperi Corp,Accounting Fraud,4
Alphabet Inc,Cytomx Therapeutics Inc,Abbvie Inc,Clinical Trial,3
Alphabet Inc,American International Group Inc,Alico Inc,Regulatory Investigation,10
Alphabet Inc,Editas Medicine,Juno Therapeutics,Clinical Trial,4
Alphabet Inc,Cytomx Therapeutics Inc,Bristol-Myers Squibb Company,Clinical Trial,93
Alphabet Inc,Facebook Inc,Zynga Inc,Hack,288
Alphabet Inc,Apple Inc,Facebook Inc,Hacking,398
Alphabet Inc,Hewlett Packard Enterprise Comp,Dxc Technology Company,Hacking,224
Alphabet Inc,Nasdaq Inc,Cryoport Inc,Clinical Trial,5
Alphabet Inc,Altaba Inc,Facebook Inc,Hack,1643
Alphabet Inc,Apple Inc,Ericsson Inc,Regulatory Investigation,11
Alphabet Inc,Nasdaq Inc,Ocular Therapeutix Inc,Clinical Trial,383
Alphabet Inc,Twitter Inc,Linkedin Corp,Hack,828
Alphabet Inc,Ebay Inc,Facebook Inc,Hack,200
Alphabet Inc,Verizon Communications Inc,Home Depot Inc,Hack,76
Alphabet Inc,Southwest Airlines Company,Boeing Company,Criminal Investigation,372
Alphabet Inc,Vertex Pharmaceuticals Inc / Ma,Crispr Therapeutics Inc,Clinical Trial,145
Alphabet Inc,Nasdaq Inc,Abeona Therapeutics,Clinical Trial,15
Alphabet Inc,Google,Samsung Electronics Gmbh,Hack,14
Alphabet Inc,Twitter Inc,Google,Hack,2044
Alphabet Inc,Svb Financial Group,Boston Private Financial Holdings Inc,Corporate Misconduct,56
Alphabet Inc,Stryker Corp,Zimmer Biomet Holdings,Hack,6
Alphabet Inc,Alexion Pharmaceuticals Inc,Astrazeneca Plc,Corporate Misconduct,28
Alphabet Inc,Nasdaq Inc,Wsfs Financial Corp,Corporate Misconduct,6
Alphabet Inc,Fireeye Inc,Symantec Corp,Hacking,10
Alphabet Inc,Nasdaq Inc,Pfizer Inc,Anti-Trust Violation,6
Alphabet Inc,Solarwinds Inc,Microsoft Corp,Criminal Investigation,4
Alphabet Inc,Google,Facebook Inc,Civil Lawsuit,30
Alphabet Inc,Google,Facebook Inc,Anti-Trust Violation,8
Alphabet Inc,Jp Morgan Chase And Co,Chase Corp,Hack,986
Alphabet Inc,Amex Global Holdings Cv,Mastercard Inc,Legal Dispute,3
Alphabet Inc,Facebook Inc,Alphabet Inc,Wire Fraud,22
Alphabet Inc,Twitter Inc,Intercontinental Exchange,Hack,28
Alphabet Inc,Jp Morgan Chase And Co,Amazon Com Inc,Bank Fraud,9
Alphabet Inc,Hsbc Holdings Plc,Visa Inc,Sanctions,63
Alphabet Inc,Nasdaq Inc,Fortress Biotech Inc,Clinical Trial,4
Alphabet Inc,Ebay Inc,Paypal Holdings,Hacking,288
Alphabet Inc,Twitter Inc,Mastercard Inc,Hacking,36
Alphabet Inc,Ligand Pharmaceuticals Inc,Pfenex Inc,Corporate Misconduct,36
Alphabet Inc,Intel Corp,Vmware Inc,Hack,36
Alphabet Inc,Uber Technologies Inc,Equifax Inc,Privacy Breach,10
Alphabet Inc,Symantec Corp,Verizon Communications Inc,Hacking,14
Alphabet Inc,Nasdaq Inc,Tg Therapeutics Inc,Clinical Trial,4
Alphabet Inc,Facebook Inc,Oracle Corp,Sanctions,4
Alphabet Inc,3M Company,Chemours Co,Criminal Investigation,5
Alphabet Inc,Astrazeneca Plc,Ironwood Pharmaceuticals Inc,Clinical Trial,4
Alphabet Inc,Netflix Inc,Sony Corp,Cyber Breach,6
Alphabet Inc,Nasdaq Inc,Bluebird Bio,Clinical Trial,20
Alphabet Inc,Altaba Inc,Line Corp,Hack,6
Alphabet Inc,Visa Inc,Mastercard Inc,Hacking,33
Alphabet Inc,Amazon Com Inc,Walmart Inc,Class-Action Lawsuit,12
Alphabet Inc,Verizon Communications Inc,Sprint Corp,Ddos Attack,16
Alphabet Inc,Twitter Inc,Microsoft Corp,Cyber Breach,20
Alphabet Inc,Nasdaq Inc,Sunworks Inc,Corporate Misconduct,9
Alphabet Inc,Realty Income Corp,Vereit Inc,Accounting Fraud,8
Alphabet Inc,Facebook Inc,Wells Fargo And Company,Ransomware Attack,14
Alphabet Inc,Thomson Reuters Corp,Tesco Plc,Hack,186
Alphabet Inc,Eaton Vance Corp,Morgan Stanley International Holdings Inc,Sanctions,4
Alphabet Inc,Capital One Financial Corp,Hsbc Holdings Plc,Bank Fraud,20
Alphabet Inc,Citigroup Inc,Mastercard Inc,Hacking,5
Alphabet Inc,Verizon Communications Inc,T-Mobile Us,Ransomware Attack,46
Alphabet Inc,Walmart Inc,Ford Motor Company,Civil Lawsuit,4
Alphabet Inc,Microsoft Corp,Sony Corp,Hacking,50
Alphabet Inc,Google,Sprint Corp,Sanctions,15
Alphabet Inc,Chase Corp,Bank Of America Corp,Criminal Investigation,4
Alphabet Inc,Peabody Energy Corp,Bhp Billiton Ltd,Sanctions,6
Alphabet Inc,Nasdaq Inc,Cytomx Therapeutics Inc,Corporate Misconduct,6
Alphabet Inc,Facebook Inc,Nasdaq Inc,Ddos Attack,16
