GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Coca-Cola Company,2,Santander Holdings Usa Inc,Bluestem Group Inc,,60
Coca-Cola Company,1,Coca-Cola Company,London Stock Exchange Group Plc,,216
Coca-Cola Company,1,Coca-Cola Company,Altria Group,,144
Coca-Cola Company,1,Coca-Cola Company,Consol Coal Resources Lp,,180
Coca-Cola Company,1,Coca-Cola Company,Owens Corning Inc,,72
Coca-Cola Company,2,Seaboard Corp,Maxwell Technologies Inc,,24
Pepsico Inc,3,Scotts Miracle-Gro Co,Reckitt Benckiser,,50
Pepsico Inc,2,Celsius Holdings Inc,Oragenics Inc,,10
Coca-Cola Company,2,Moodys Corp /De/,Ubs Group Ag,,23808
Coca-Cola Company,1,Coca-Cola Company,Flowers Foods Inc,,36
Coca-Cola Company,3,Canadian Pacific Railway Ltd/Cn,Intercontinental Exchange,,18564
Coca-Cola Company,2,Morgan Stanley International Holdings Inc,Seacor Holdings Inc /New/,,270
Pepsico Inc,2,Coca-Cola Company,Darling Ingredients Inc,,216
Pepsico Inc,3,United States Steel Corp,Revlon Inc,,40
Pepsico Inc,3,Corelogic,Bank Of America Corp,,190038
Pepsico Inc,3,Microsoft Corp,Red Hat Inc,,168
Pepsico Inc,2,Mondelez International Inc,Kraft Heinz Co,,720
Pepsico Inc,2,United States Steel Corp,Alon Usa Energy Inc,,50
Coca-Cola Company,2,Hain Celestial Group Inc,Jetblue Airways Corp,,20
Pepsico Inc,3,Cna Financial Corp,Churchill Capital Corp,,51
Pepsico Inc,2,Coca-Cola Company,Kirin Holdings Co Ltd,,400
Coca-Cola Company,1,Coca-Cola Company,Herbalife Nutrition Ltd,,48
Pepsico Inc,3,Corelogic,Verisk Analytics Inc,,24
Pepsico Inc,3,Cna Financial Corp,Pfizer Inc,,468
Coca-Cola Company,2,Bank Of America Corp,Berkshire Bancorp Inc /De/,,285
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola Hbc Ag,,252
Coca-Cola Company,1,Coca-Cola Company,Banco Santander Sa,Corporate,336
Coca-Cola Company,3,Gain Capital Holdings,Archer Daniels Midland Co,,272
Coca-Cola Company,2,Pepsico Inc,Dover Corp,,390
Pepsico Inc,2,Jp Morgan Chase And Co,Mastercard Inc,,25866
Coca-Cola Company,2,Morgan Stanley International Holdings Inc,Discover Financial Services,,1596
Coca-Cola Company,2,Conagra Brands Inc,Chicos Fas Inc,,850
Coca-Cola Company,2,Post Holdings Inc,Monster Beverage Corp,,252
Coca-Cola Company,3,United Continental Holdings,Singapore Airlines Ltd,,72
Coca-Cola Company,2,Archer Daniels Midland Co,Overseas Shipholding Group Inc,,192
Pepsico Inc,3,Weight Watchers International Inc,Hasbro Inc,,72
Pepsico Inc,2,Starbucks Corp,Goodyear Tire And Rubber Co /Oh/,,702
Coca-Cola Company,3,Jetblue Airways Corp,Delta Air Lines Inc,,50
Coca-Cola Company,1,Coca-Cola Company,Tsr Inc,,18
Coca-Cola Company,2,Dr Pepper Snapple Group Inc,Mondelez International Inc,,13755
Coca-Cola Company,1,Coca-Cola Company,Suntrust Banks Inc,,360
Coca-Cola Company,3,Wyndham Worldwide Corp,Diamond Resorts International Inc,Corporate,24
Coca-Cola Company,1,Coca-Cola Company,Ingredion Inc,,48
Coca-Cola Company,1,Coca-Cola Company,Diageo Plc,,180
Coca-Cola Company,2,Koninklijke Bunge Bv,Noble Group Ltd,,48
Coca-Cola Company,2,Post Holdings Inc,Wells Fargo And Company,,8000
Coca-Cola Company,2,Nrg Energy,United Continental Holdings,,300
Coca-Cola Company,1,Coca-Cola Company,Ca Inc,SupplyChain,576
Coca-Cola Company,3,Automatic Data Processing Inc,Salesforce Com Inc,,192
Coca-Cola Company,3,Jones Lang Lasalle Inc,Compass Group Plc,,80
Pepsico Inc,3,Trimas Corp,Parker Hannifin Corp,,114
Coca-Cola Company,3,Jetblue Airways Corp,Lyft Inc,,90
Coca-Cola Company,3,Maxwell Technologies Inc,Microsemi Corp,,2
Coca-Cola Company,1,Coca-Cola Company,Moodys Corp /De/,,168
Coca-Cola Company,2,Citigroup Inc,Honeywell International Inc,,1320
Coca-Cola Company,2,Chevron Corp,Exxon Mobil Corp,,144
Coca-Cola Company,1,Coca-Cola Company,Anheuser-Busch Inbev Sa,,1800
Coca-Cola Company,3,Pepsico Inc,Essa Bancorp Inc,,234
Pepsico Inc,3,Merck And Co Inc,Dowdupont Inc,,168
Pepsico Inc,2,Citigroup Inc,Tribune Media Co,,252
Pepsico Inc,1,Pepsico Inc,Apollo Global Management Llc,Communication,780
Pepsico Inc,3,Hain Celestial Group Inc,Ebro Foods Sa,,140
Pepsico Inc,1,Pepsico Inc,Intercontinental Exchange,,2028
Coca-Cola Company,3,Rpm International Inc/De/,Yrc Worldwide,,36
Coca-Cola Company,1,Coca-Cola Company,Jefferies Financial Group Inc,,72
Coca-Cola Company,2,Goldman Sachs Group Inc,Agco Corp,,1792
Microsoft Corp,1,Microsoft Corp,Arlington Asset Investment Corp,,5940
Pepsico Inc,2,Mondelez International Inc,Kennametal Inc,,80
Coca-Cola Company,3,Nci Inc,General Dynamics Corp,,9
Microsoft Corp,3,Global Indemnity Ltd,Wr Berkley Corp,,80
Microsoft Corp,3,Global Indemnity Ltd,Everest Re Group,,24
Microsoft Corp,2,Starbucks Corp,Sysco Corp,,416
Microsoft Corp,2,Adobe Inc,Comscore Inc,,30
Alphabet Inc,2,Atandt Inc,Aol Inc,,630
Alphabet Inc,1,Alphabet Inc,Twitter Inc,,140
Alphabet Inc,3,Dcp Midstream Lp,Tallgrass Energy Partners Lp,,7
Pepsico Inc,1,Pepsico Inc,Bioscrip Inc,,260
Coca-Cola Company,2,Intercontinental Exchange,Nyse Euronext,,48
Microsoft Corp,2,Federal National Mortgage Association,Phh Corp,,1260
Microsoft Corp,3,Hsbc Holdings Plc,Cold Spring Capital Inc,,57
Microsoft Corp,2,Federal National Mortgage Association,Tenet Healthcare Corp,,280
Microsoft Corp,1,Microsoft Corp,Sony Corp,,300
Alphabet Inc,3,Pdl Biopharma Inc,Cambrex Corp,,15
Alphabet Inc,2,Honeywell International Inc,Caterpillar Inc,,792
Alphabet Inc,3,Juniper Networks Inc,Extreme Networks Inc,,110
Microsoft Corp,3,Nvidia Corp,Amkor Technology,,44
Microsoft Corp,2,Equity Bancshares Inc,Spirit Aerosystems Holdings,,24
Alphabet Inc,1,Alphabet Inc,Abbvie Inc,,1680
