GRAPH,NODE DISTANCE,STARTING NODE,ENDING NODE,INTENSITY
Svb Financial Group,1,Svb Financial Group,Pfizer Inc,0.101010101
Svb Financial Group,1,Svb Financial Group,Mersana Therapeutics Inc,0.101010101
Svb Financial Group,1,Svb Financial Group,Kura Oncology,0.101010101
Svb Financial Group,1,Svb Financial Group,Gci Liberty Inc,36.36363636
Svb Financial Group,1,Svb Financial Group,Sandp Global Inc,100
Svb Financial Group,1,Svb Financial Group,Onebeacon Insurance Group Ltd,0.101010101
Svb Financial Group,2,Moodys Corp /De/,Allegiant Travel Co,0.000292128
Svb Financial Group,2,Nasdaq Inc,Landcadia Holdings Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Agrofresh Solutions,0.000292128
Svb Financial Group,2,Jp Morgan Chase And Co,Galectin Therapeutics Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Quantum Corp,0.052875121
Svb Financial Group,2,Intercontinental Exchange,Mobile Telesystems,0.000292128
Svb Financial Group,2,Cohen And Co Inc,Century Communities Inc,0.074784702
Svb Financial Group,2,Nasdaq Inc,Biocon Limited,0.000292128
Svb Financial Group,2,Twitter Inc,Shake Shack Inc,0.000292128
Svb Financial Group,2,Svb Financial Group,Gci Liberty Inc,0.093480877
Svb Financial Group,2,Nasdaq Inc,Aerpio Pharmaceuticals Inc,0.000292128
Svb Financial Group,2,Microsoft Corp,Alon Usa Energy Inc,0.100784071
Svb Financial Group,2,Gilead Sciences Inc,Forward Air Corp,0.027313944
Svb Financial Group,2,Jp Morgan Chase And Co,Federal Home Loan Mortgage Corp,100
Svb Financial Group,2,Apollo Global Management Llc,Caesars Entertainment Corp,0.33886818
Svb Financial Group,2,Aehr Test Systems,Cypress Semiconductor Corp /De/,0.049077461
Svb Financial Group,2,Geron Co Ltd,Imago Biosciences Inc,0.006134683
Svb Financial Group,2,Bank Of America Corp,Boohoocom Plc,0.000292128
Svb Financial Group,2,Ophthotech Corp,Generation Bio Co,0.012853621
Svb Financial Group,2,Intercontinental Exchange,Eastman Chemical Company,0.000292128
Svb Financial Group,2,Nasdaq Inc,Fresenius Se And Co Kgaa,0.000292128
Svb Financial Group,2,Psivida Corp,Clearside Biomedical Inc,0.014022132
Svb Financial Group,2,Nasdaq Inc,Evelo Biosciences Inc,0.000292128
Svb Financial Group,2,Jp Morgan Chase And Co,Altaba Inc,0.000292128
Svb Financial Group,2,Amarin Corp Plc,Hikma Pharmaceuticals Plc,0.007011066
