"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Coca-Cola Company,2,Jp Morgan Chase And Co,Ambac Financial Group Inc,"[
  ""Breach Of Contract""
]",9180
Coca-Cola Company,3,Globalscape Inc,Otelco Inc,"[
  ""Breach""
]",6479
Coca-Cola Company,3,Moodys Corp /De/,Fly Leasing Ltd,"[
  ""Downgrade""
]",4407
Coca-Cola Company,3,Symantec Corp,Mcafee Inc,"[
  ""Breach""
]",5570
Pepsico Inc,3,Wandt Offshore Inc,Axa Sa,"[
  ""Removal""
]",1716
Pepsico Inc,3,Advanced Micro Devices Inc,Aib Group Plc,"[
  ""Interruption"",
  ""Litigation""
]",5016
Coca-Cola Company,3,Chevron Corp,Rice Midstream Partners Lp,"[
  ""Investigation""
]",1818
Pepsico Inc,3,Healthsouth Corporation,Horizon Pharma Plc,"[
  ""Fraud""
]",21732
Pepsico Inc,3,Amc Entertainment Inc,Cineworld Group Plc,"[
  ""Disruption""
]",2328
Alphabet Inc,3,Mplx Lp,Plains All American Pipeline Lp,"[
  ""Bankruptcy""
]",16494
Coca-Cola Company,3,Allergan Plc,Teva Pharmaceutical Industries Ltd,"[
  ""Litigation""
]",154240
Pepsico Inc,3,Sangamo Therapeutics Inc,Biomarin Pharmaceutical Inc,"[
  ""Clinical Trial""
]",870
Microsoft Corp,3,Cisco Systems Inc,Fortinet Inc,"[
  ""Breach"",
  ""Breach""
]",20430
Alphabet Inc,3,Abbvie Inc,Biogen Inc,"[
  ""Clinical Trial""
]",2112
Alphabet Inc,3,Alnylam Pharmaceuticals Inc,Dicerna Pharmaceuticals Inc,"[
  ""Litigation""
]",261
Alphabet Inc,3,Atara Biotherapeutics Inc,Chimerix Inc,"[
  ""Clinical Trial""
]",148
