GRAPH,NODE DISTANCE,Node,DATE,CLASS,THEMES,P_VALUE,DOCSENTIMENT,SENTIMENT,FINANCIALSENTIMENT,IMPACT,SALIENCY_V1,CONFIDENCE
Alphabet Inc,1,Yandex Nv,3/1/22,Sanctions,"
  SASB Materials Sourcing & Efficiency,
  Supply Chain,
  Joint Venture / Parthership
",0.117647,-0.106579997,0.02233099,-0.623007476,0.658687472,0.695837557,0.541687843
Morgan Stanley International Holdings Inc,1,Deutsche Bank,1/6/22,Removal,"
  Joint Venture / Parthership,
  Banking
",0.176471,0.50424999,-0.119941108,0.801145375,0.776378214,0.927058756,0.601652985
Pepsico Inc,1,Visa Inc,3/6/22,Sanctions,"
  Corporate Relocation,
  Banking,
  Gov and Politics
",0.294118,-0.07084091,-0.137516603,-0.258444667,0.810460448,0.952677369,0.503255664
Goldman Sachs Group Inc,1,Bright Health Inc,1/28/22,Breach,"
  Lawsuit,
  Debt Offering,
  IPO ICO,
  Coronavirus
",0,0.223811433,-0.051593445,-0.42202723,0.683185816,0.855542183,0.926114544
Coca-Cola Company,3,Broadcom Ltd,2/4/22,Litigation,"
  Cyber Crime,
  Cyber Security,
  Lawsuit,
  SASB Competitive Behavior
",0.058824,-0.017006451,-0.212913558,,0.634321511,0.532454669,0.591750104
Microsoft Corp,1,Atandt Inc,1/2/22,Disruption,"
  Aviation
",0.117647,-0.082815789,-0.377321988,0.449284822,0.756492317,0.820987105,0.557553011
Coca-Cola Company,3,Dana Inc,3/25/22,Disruption,"
  SASB Supply Chain Management
",0.058824,0.464386672,0.23971653,,0.70096004,0.672171533,0.511939049
Coca-Cola Company,2,Solvay Sa,3/24/22,Investigation,"
  Oil
",0.058824,0.073669232,0.312875479,,0.575683892,0.705889106,0.521992193
Pepsico Inc,2,Zimmer Biomet Holdings,3/24/22,Investigation,"
  Lawsuit,
  Bribery,
  SASB Business Ethics
",0,0.0213375,-0.234998047,0.416235119,0.935251594,0.826104522,0.488850374
Pepsico Inc,2,Zimmer Biomet Holdings,3/24/22,Fraud,"
  Lawsuit,
  Bribery,
  SASB Business Ethics
",0,0.0213375,-0.234998047,0.416235119,0.935251594,0.826104522,0.488850374
Alphabet Inc,3,Mckesson Corp,1/7/22,Litigation,"
  Lawsuit
",0.058824,0.075582497,0.265903234,,0.569269478,0.654326856,0.550386515
Morgan Stanley International Holdings Inc,1,Deutsche Bank,2/15/22,Investigation,"
  Bribery,
  Artificial Intelligence,
  Fintech,
  Cyber Security,
  Money Laundering,
  Drugs,
  Banking
",0.176471,-0.042947438,-0.164618045,,0.766601741,0.648180664,0.601892083
Alphabet Inc,3,Us Bancorp,2/7/22,Money Laundering,"
  Merger and Acquisition,
  Money Laundering
",0.176471,0.109318182,0.227816597,,0.603464901,0.86134845,0.513430428
Morgan Stanley International Holdings Inc,1,Credit Suisse Group,2/7/22,Money Laundering,"
  Banking,
  Money Laundering,
  Drugs
",0.058824,-0.101400003,-0.136308581,,0.685578406,0.869482756,0.510619659
Goldman Sachs Group Inc,1,Us Bancorp,1/12/22,Downgrade,"
  Merger and Acquisition,
  Credit Change
",0.117647,0.124953777,-0.370239466,0.69459492,0.628601551,0.759865105,0.516249744
Goldman Sachs Group Inc,1,Reata Pharmaceuticals Inc,1/29/22,Litigation,"
  Lawsuit
",0.058824,0.164586365,-0.108186446,0,0.776969373,0.610916197,0.595372505
Pepsico Inc,1,Moodys Corp /De/,2/11/22,Fraud,"
  Payment Default,
  Credit Change,
  Default
",0.176471,0.150719464,-0.292190701,0,0.813088238,0.572974801,0.784740133
Microsoft Corp,3,Cummins Inc,3/19/22,Sanctions,"
  Earnings,
  Supply Chain,
  SASB Materials Sourcing & Efficiency,
  Merger and Acquisition
",0.058824,0.118758619,-0.086099573,-0.079298325,0.814386308,0.96522814,0.598730226
Goldman Sachs Group Inc,1,Bright Health Inc,1/25/22,Litigation,"
  Lawsuit
",0,0.136231586,0.071458057,0,0.720466912,0.649328053,0.784499748
Coca-Cola Company,1,Altria Group,3/3/22,Removal,"
  Merger and Acquisition,
  SASB Competitive Behavior
",0.117647,-0.134399995,-0.277897447,,0.868508756,0.97537601,0.614046901
Pepsico Inc,2,Visa Inc,3/5/22,Sanctions,"
  Sanctions,
  Banking
",0.235294,-0.10716667,-0.117337771,,0.86689949,0.962315917,0.500663262
Microsoft Corp,1,Vmware Inc,3/15/22,Disruption,"
  Cyber Security
",0.235294,0.319091678,0.101627223,,0.617335558,0.742414713,0.482558593
Alphabet Inc,2,Vodafone Group Plc,3/10/22,Data Breach,"
  Cyber Crime,
  SASB Data Security,
  Theft of Information
",0.294118,-0.085529998,-0.173087969,-0.622125804,0.848040283,0.808320582,0.417679771
Pepsico Inc,1,Unilever Plc,1/15/22,Dispute,"
  SASB GHG Emissions
",0.176471,0.10862419,0.029962603,-0.954805672,0.835638583,0.918757081,0.607123947
Pepsico Inc,1,Hsbc Holdings Plc,3/19/22,Removal,"
  Drugs,
  Banking,
  Fraud
",0.058824,-0.292495251,-0.287742168,,0.811564445,0.764621973,0.510565088
Microsoft Corp,1,Activision Blizzard,1/21/22,Breach,"
  SASB Competitive Behavior,
  Merger and Acquisition,
  Blockchain,
  Cyber Crime,
  Cybercurrency,
  e-Commerce,
  Coronavirus
",0.176471,0.155770689,0.066168867,0.871727943,0.644170702,0.693815351,0.526634424
Pepsico Inc,2,Pra Group Inc,2/15/22,Investigation,"
  SASB Systemic Risk Management
",0.058824,0.258092314,0.006056131,0.285097271,0.805854082,0.949010551,0.529024116
Goldman Sachs Group Inc,3,Pacific Gas And Electric Co,1/20/22,Removal,"
  Natural Disaster
",0,-0.152253658,-0.45786348,,0.670796156,0.690989137,0.561552364
Pepsico Inc,2,Kimberly-Clark Corp,2/25/22,Disruption,"
  Merger and Acquisition,
  Earnings
",0.058824,0.247832686,0.009363357,0.268409461,0.864131391,0.897006214,0.452515569
Goldman Sachs Group Inc,1,Baidu Inc,2/7/22,Litigation,"
  Banking,
  Lawsuit
",0.117647,0.106556818,-0.052516505,,0.684067965,0.571732461,0.601485885
Coca-Cola Company,2,The Toronto-Dominion Bank,1/22/22,Setback,"
  Banking
",0.117647,0.099580884,-0.137430057,0,0.562263429,0.615683258,0.839339385
Coca-Cola Company,2,Carmax Inc,2/15/22,Disruption,"
  Earnings,
  Supply Chain,
  SASB Competitive Behavior,
  SASB Materials Sourcing & Efficiency
",0.117647,0.151569143,0.095432892,-0.053511493,0.931870937,0.858368218,0.507673968
Microsoft Corp,2,Moodys Corp /De/,3/2/22,Reorganization,"
  Banking,
  Credit Change
",0.176471,0.125990987,-0.281525105,-0.085357942,0.672971427,0.628550172,0.776691264
Goldman Sachs Group Inc,1,Credit Suisse Group,2/18/22,Arrest,"
  Money Laundering,
  Banking,
  Violent Action,
  Drugs
",0.058824,-0.139591888,-0.162917897,,0.876799881,0.951104641,0.507903295
Coca-Cola Company,1,Citigroup Inc,1/13/22,Litigation,"
  Banking,
  Bankruptcy,
  Fraud,
  SASB Labor Practices,
  Lawsuit,
  Merger and Acquisition,
  SASB Business Ethics
",0.294118,0.011969388,-0.237041488,-0.416265726,0.819222033,0.886854649,0.522934359
Microsoft Corp,3,Sunpower Corp,3/13/22,Litigation,"
  Lawsuit
",0,0.10059388,-0.136027709,-0.384140015,0.72898984,0.727780998,0.503395152
Microsoft Corp,2,Solarwinds Inc,1/28/22,Hack,"
  Presidential Transition,
  Cyber Crime,
  Government
",0,0.095956408,-0.284042835,0,0.908058763,0.820193172,0.475147084
Goldman Sachs Group Inc,1,Cbs Corp,2/11/22,Criminal Investigation,"
  SASB Business Ethics,
  Harassment
",0.117647,-0.175323501,-0.173092335,,0.895591557,0.880138755,0.60038437
Alphabet Inc,2,Cbs Corp,2/11/22,Investigation,"
  SASB Business Ethics,
  Harassment
",0.117647,-0.175323501,-0.173092335,,0.895591557,0.880138755,0.60038437
Microsoft Corp,2,Check Point Software Technologies Inc,3/10/22,Investigation,"
  SASB Materials Sourcing & Efficiency,
  Coronavirus,
  Supply Chain
",0,0.28224808,0.418726414,,0.709013283,0.638274133,0.596496991
Goldman Sachs Group Inc,2,Apellis Pharmaceuticals Inc,3/17/22,Setback,"
  Presidential Transition,
  Government
",0.058824,0.158392861,0.069456376,,0.746456444,0.742162764,0.576574372
Goldman Sachs Group Inc,1,Reata Pharmaceuticals Inc,1/5/22,Litigation,"
  Lawsuit
",0.235294,0.107682854,-0.212733462,0,0.786203802,0.655398786,0.575094384
Pepsico Inc,1,Walmart Inc,3/18/22,Investigation,"
  Military,
  Disruptive Event
",0.058824,-0.000305882,-0.003110295,,0.662737489,0.723997474,0.446101762
Alphabet Inc,3,Banco Bilbao Viscaya Argentaria Sa,2/13/22,Investigation,"
  Banking,
  Bribery
",0.176471,0.104269229,0.024828116,,0.664821506,0.81804049,0.589249189
Microsoft Corp,1,Facebook Inc,2/16/22,Breach,"
  Merger and Acquisition
",0.058824,0.076620832,-0.205860853,,0.762612224,0.865176916,0.50927915
Goldman Sachs Group Inc,2,Sun Pharmaceutical Industries Inc,3/4/22,Disruption,"
  Supply Chain,
  SASB Materials Sourcing & Efficiency,
  Merger and Acquisition
",0.117647,0.093452938,0.262939602,0,0.678906024,0.66114074,0.584550433
Microsoft Corp,1,Oracle Corp,1/30/22,Disruption,"
  SASB Materials Sourcing & Efficiency
",0.058824,0.543464303,0.202765316,,0.730062068,0.924638689,0.485157563
Morgan Stanley International Holdings Inc,2,Cra International,3/7/22,Litigation,"
  Dividend
",0,0.162229419,-0.03164449,0.214545578,0.843852818,0.917517543,0.592142035
Morgan Stanley International Holdings Inc,2,Moodys Corp /De/,2/15/22,Fraud,"
  Credit Change,
  Merger and Acquisition,
  SASB Materials Sourcing & Efficiency,
  Earnings,
  Supply Chain
",0.294118,0.165075004,-0.285906434,-0.022172039,0.780366063,0.564638495,0.76375787
Goldman Sachs Group Inc,2,Moodys Corp /De/,2/15/22,Fraud,"
  Credit Change,
  Merger and Acquisition,
  SASB Materials Sourcing & Efficiency,
  Earnings,
  Supply Chain
",0.294118,0.165075004,-0.285906434,-0.022172039,0.780366063,0.564638495,0.76375787
