,Feature,weighted_graph_tmobile,weighted_graph_verizon
0,number_nodes,978,1420
1,number_edges,12959,17179
2,edges_weight_sum,0.685009009,5.855333662
3,degree_mean,26.50102249,24.19577465
4,degree_max,878,1266
5,degree_min,1,1
6,indegree_mean,13.25051125,12.09788732
7,indegree_max,821,1209
8,indegree_min,0,0
9,outdegree_mean,13.25051125,12.09788732
10,outdegree_max,67,67
11,outdegree_min,0,0
12,closeness_centrality_mean,0.040560323,0.02826383
13,closeness_centrality_max,0.849815712,0.863414027
14,closeness_centrality_min,0,0
15,eigenvector_centrality_mean,0.007650502,0.005285858
16,eigenvector_centrality_max,0.184219931,0.190250205
17,eigenvector_centrality_min,-2.78E-17,-2.78E-17
18,pagerank_mean,0.001022495,0.107042254
19,pagerank_max,0.087871997,0.421799703
20,pagerank_min,0.000235743,0.000144986
21,transitivity,0.58002466,0.675401514
22,density,0.013562448,0.008525643
23,overall_reciprocity,0.042904545,0.046452064
24,wiener_index,inf,inf
25,global_efficiency_F,0.501144071,0.492995133
26,global_efficiency_T,0.000744806,0.000527218
27,local_efficiency_F,0.891425081,0.892502769
28,local_efficiency_T,0.026208054,0.023246886
29,cycle_basis_F,11704,15361
30,cycle_basis_T,249,363
31,triad_003,146074889,457804909
32,triad_012,6327288,12883338
33,triad_102,98035,248260
34,triad_021D,35831,32380
35,triad_021U,2531036,4701543
36,triad_021C,162343,201156
37,triad_111D,100557,206533
38,triad_111U,4684,6240
39,triad_030T,30376,24997
40,triad_030C,3,4
41,triad_201,508,1005
42,triad_120D,58531,90501
43,triad_120U,2684,2247
44,triad_120C,69,122
45,triad_210,674,1246
46,triad_300,1468,2459
