NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY
1,goldman_sachs_group_inc,reata_pharmaceuticals_inc,0.41
1,goldman_sachs_group_inc,mulberry_health_inc,0.12
1,goldman_sachs_group_inc,thomson_reuters_corp,14.66
1,goldman_sachs_group_inc,didi_global_inc,0.07
1,goldman_sachs_group_inc,maiden_holdings_ltd,331.29
1,goldman_sachs_group_inc,lucid_inc,0.02
1,goldman_sachs_group_inc,gsx_techedu_inc,0.15
1,goldman_sachs_group_inc,venator_materials_plc,0.61
1,goldman_sachs_group_inc,adeptus_health_inc,0.13
1,goldman_sachs_group_inc,pimco_dynamic_credit_income_fun,8.45
1,goldman_sachs_group_inc,level_brands_inc,0.15
1,goldman_sachs_group_inc,intercontinental_exchange,465.01
2,intercontinental_exchange,wells_fargo_and_company,273.63
2,intercontinental_exchange,bank_of_america_corp,22.34
2,intercontinental_exchange,allstate_corp,13.77
1,goldman_sachs_group_inc,wandt_offshore_inc,1.58
1,goldman_sachs_group_inc,university_bancorp_inc_/de/,0.02
1,goldman_sachs_group_inc,ihs_markit_ltd,159.59
1,goldman_sachs_group_inc,staples_inc,0.09
2,ihs_markit_ltd,bank_of_america_corp,21.1
3,bank_of_america_corp,tesla_inc,10.33
3,bank_of_america_corp,tesla_inc,10.33
3,bank_of_america_corp,tesla_inc,10.33
1,goldman_sachs_group_inc,marcus_corp,2.02
1,goldman_sachs_group_inc,general_motors_limited,78.37
1,goldman_sachs_group_inc,xp_inc,0.12
1,goldman_sachs_group_inc,iqiyi_inc,0.22
1,goldman_sachs_group_inc,nn_inc,7.79
1,goldman_sachs_group_inc,sunedison_inc,0.8
1,goldman_sachs_group_inc,baidu_inc,0.95
1,goldman_sachs_group_inc,federal_national_mortgage_association,29.49
2,federal_national_mortgage_association,jp_morgan_chase_and_co,22.1
1,goldman_sachs_group_inc,barnes_group_inc,0.19
1,goldman_sachs_group_inc,alnylam_pharmaceuticals_inc,6.96
1,goldman_sachs_group_inc,sea_ltd,0.41
1,goldman_sachs_group_inc,tencent_music_entertainment_group,0.15
1,goldman_sachs_group_inc,zymergen_inc,0.05
1,goldman_sachs_group_inc,moodys_corp_/de/,31.79
1,goldman_sachs_group_inc,citigroup_inc,1000
1,goldman_sachs_group_inc,vipshop_holdings_ltd,0.18
2,citigroup_inc,jp_morgan_chase_and_co,721.58
2,citigroup_inc,intercontinental_exchange,41.33
2,citigroup_inc,bank_of_america_corp,215.19
1,goldman_sachs_group_inc,natera_inc,0.76
1,goldman_sachs_group_inc,bright_health_inc,0.05
1,goldman_sachs_group_inc,metro_inc,50.85
1,goldman_sachs_group_inc,bank_of_new_york_mellon_corp,32.25
1,goldman_sachs_group_inc,contextlogic_inc,0.11
1,goldman_sachs_group_inc,uber_technologies_inc,15.38
1,goldman_sachs_group_inc,fair_isaac_corp,4.48
1,goldman_sachs_group_inc,morgan_stanley_international_holdings_inc,295.23
2,morgan_stanley_international_holdings_inc,intercontinental_exchange,10.45
1,goldman_sachs_group_inc,navistar_international_corp,7.36
1,goldman_sachs_group_inc,sumitomo_mitsui_financial_group_inc,1.36
